date,mvBeds,inHospital,admissions,newCases,deaths
2020-01-31,,,,2,
2020-02-01,,,,0,
2020-02-02,,,,0,
2020-02-03,,,,0,
2020-02-04,,,,0,
2020-02-05,,,,0,
2020-02-06,,,,1,
2020-02-07,,,,0,
2020-02-08,,,,0,
2020-02-09,,,,1,
2020-02-10,,,,4,
2020-02-11,,,,0,
2020-02-12,,,,0,
2020-02-13,,,,1,
2020-02-14,,,,0,
2020-02-15,,,,0,
2020-02-16,,,,0,
2020-02-17,,,,0,
2020-02-18,,,,0,
2020-02-19,,,,0,
2020-02-20,,,,0,
2020-02-21,,,,0,
2020-02-22,,,,0,
2020-02-23,,,,0,
2020-02-24,,,,4,
2020-02-25,,,,0,
2020-02-26,,,,0,
2020-02-27,,,,0,
2020-02-28,,,,6,
2020-02-29,,,,4,
2020-03-01,,,,12,
2020-03-02,,,,5,
2020-03-03,,,,11,
2020-03-04,,,,34,
2020-03-05,,,,29,
2020-03-06,,,,46,1.0
2020-03-07,,,,46,1.0
2020-03-08,,,,65,0.0
2020-03-09,,,,50,1.0
2020-03-10,,,,52,4.0
2020-03-11,,,,83,0.0
2020-03-12,,,,134,2.0
2020-03-13,,,,207,1.0
2020-03-14,,,,264,18.0
2020-03-15,,,,330,14.0
2020-03-16,,,,152,22.0
2020-03-17,,,,407,16.0
2020-03-18,,,,676,34.0
2020-03-19,,,,643,45.0
2020-03-20,,,,714,32.0
2020-03-21,,,,1035,58.0
2020-03-22,,,,665,36.0
2020-03-23,,,1274.0,967,76.0
2020-03-24,,,1718.0,1427,148.0
2020-03-25,,,2086.0,1452,191.0
2020-03-26,,,1929.0,2129,181.0
2020-03-27,,7267.0,2229.0,2890,288.0
2020-03-28,,8278.0,2192.0,2556,292.0
2020-03-29,,9525.0,2489.0,2502,212.0
2020-03-30,,11093.0,3192.0,2665,374.0
2020-03-31,,12597.0,2832.0,3250,403.0
2020-04-01,,13637.0,3567.0,4567,672.0
2020-04-02,1813.0,13875.0,3286.0,4522,657.0
2020-04-03,2120.0,15546.0,2931.0,4672,736.0
2020-04-04,2309.0,17502.0,2922.0,4000,756.0
2020-04-05,2469.0,18855.0,2916.0,6199,599.0
2020-04-06,2644.0,19493.0,3046.0,4143,567.0
2020-04-07,2864.0,20234.0,3150.0,3888,1105.0
2020-04-08,2967.0,20740.0,2967.0,5865,1030.0
2020-04-09,2963.0,21005.0,2629.0,4675,1116.0
2020-04-10,3228.0,21280.0,2462.0,5706,1122.0
2020-04-11,3274.0,21254.0,2163.0,5234,843.0
2020-04-12,3301.0,21687.0,2066.0,5288,657.0
2020-04-13,3277.0,21308.0,2163.0,4342,724.0
2020-04-14,3234.0,21281.0,2088.0,5252,1076.0
2020-04-15,3228.0,20582.0,1880.0,4605,880.0
2020-04-16,3222.0,20389.0,2011.0,4618,1036.0
2020-04-17,3162.0,19330.0,1967.0,5599,913.0
2020-04-18,3247.0,19456.0,1629.0,5526,1105.0
2020-04-19,3176.0,19574.0,1657.0,5850,432.0
2020-04-20,3130.0,19331.0,1734.0,4676,570.0
2020-04-21,3036.0,19139.0,1713.0,4301,1224.0
2020-04-22,2964.0,18533.0,1530.0,4451,847.0
2020-04-23,2867.0,17867.0,1514.0,4583,682.0
2020-04-24,2703.0,17063.0,1525.0,5386,1010.0
2020-04-25,2702.0,16604.0,1253.0,4913,815.0
2020-04-26,2580.0,16555.0,1355.0,4463,364.0
2020-04-27,2460.0,16662.0,1539.0,4310,320.0
2020-04-28,2353.0,15877.0,1518.0,3996,969.0
2020-04-29,2286.0,15521.0,1488.0,4076,769.0
2020-04-30,2224.0,15164.0,1443.0,6032,634.0
2020-05-01,2178.0,14723.0,1263.0,6201,698.0
2020-05-02,2068.0,14380.0,1181.0,4806,584.0
2020-05-03,2009.0,14188.0,1188.0,4339,253.0
2020-05-04,1936.0,14097.0,1249.0,3985,272.0
2020-05-05,1874.0,13723.0,1146.0,4406,726.0
2020-05-06,1802.0,13148.0,1206.0,6111,647.0
2020-05-07,1685.0,12626.0,1166.0,5614,458.0
2020-05-08,1642.0,12053.0,910.0,4649,579.0
2020-05-09,1585.0,12015.0,944.0,3896,275.0
2020-05-10,1538.0,11727.0,916.0,3923,217.0
2020-05-11,1485.0,11967.0,1029.0,3877,187.0
2020-05-12,1414.0,11591.0,983.0,3403,614.0
2020-05-13,1342.0,11342.0,967.0,3242,447.0
2020-05-14,1314.0,10921.0,909.0,3446,352.0
2020-05-15,1337.0,10691.0,871.0,3560,350.0
2020-05-16,1234.0,10238.0,814.0,3451,411.0
2020-05-17,1196.0,10199.0,793.0,3562,67.0
2020-05-18,1141.0,10231.0,850.0,2684,146.0
2020-05-19,1106.0,10013.0,881.0,2412,500.0
2020-05-20,1034.0,9563.0,851.0,2472,328.0
2020-05-21,1008.0,9293.0,841.0,2615,273.0
2020-05-22,964.0,9184.0,740.0,3287,291.0
2020-05-23,928.0,8814.0,643.0,2959,220.0
2020-05-24,886.0,8814.0,587.0,2409,379.0
2020-05-25,863.0,8836.0,604.0,1625,104.0
2020-05-26,847.0,8732.0,698.0,2004,131.0
2020-05-27,783.0,8220.0,713.0,2013,422.0
2020-05-28,751.0,7907.0,703.0,1887,343.0
2020-05-29,719.0,7586.0,615.0,2095,274.0
2020-05-30,704.0,7268.0,568.0,2445,154.0
2020-05-31,679.0,7238.0,529.0,1936,60.0
2020-06-01,652.0,7248.0,604.0,1570,86.0
2020-06-02,636.0,7087.0,668.0,1613,249.0
2020-06-03,602.0,6815.0,634.0,1871,254.0
2020-06-04,571.0,6580.0,566.0,1805,130.0
2020-06-05,554.0,6379.0,475.0,1650,258.0
2020-06-06,540.0,6149.0,408.0,1557,143.0
2020-06-07,515.0,5944.0,407.0,1326,54.0
2020-06-08,509.0,5931.0,413.0,1205,47.0
2020-06-09,491.0,5736.0,496.0,1387,195.0
2020-06-10,439.0,5475.0,512.0,1003,164.0
2020-06-11,390.0,5179.0,446.0,1266,76.0
2020-06-12,393.0,5090.0,394.0,1541,131.0
2020-06-13,390.0,4941.0,387.0,1425,107.0
2020-06-14,393.0,4908.0,364.0,1514,27.0
2020-06-15,385.0,4870.0,442.0,1056,29.0
2020-06-16,378.0,4863.0,456.0,1279,120.0
2020-06-17,357.0,4719.0,433.0,1115,110.0
2020-06-18,352.0,4560.0,406.0,1218,67.0
2020-06-19,330.0,4414.0,337.0,1346,84.0
2020-06-20,346.0,4252.0,257.0,1295,71.0
2020-06-21,310.0,4222.0,289.0,1221,31.0
2020-06-22,340.0,4281.0,395.0,958,14.0
2020-06-23,311.0,4134.0,363.0,874,94.0
2020-06-24,316.0,4030.0,370.0,653,87.0
2020-06-25,276.0,3850.0,325.0,1118,99.0
